C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
J1:1
J2:1
J3:1
J4:1
PSW1:1
R1:1
SW1:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
U1:1
U2:1
